,,,,
,,,,
nom de produit,quantité  par produit ,PRIX DE VENTE ,Colonne 1,image
Cable F6000 lightning 1M White ,6,"1,00",F6000,https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg
Cable F6002 White Type-c,6,"1,00",F6002,https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg
Cable F8000 20W PD White,6,"2,30",F8000,https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg
Cable F8005 C to C 60W WAX White,5,"2,20",F8005,https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg
Charger J8518 White,6,"1,50",J8518,https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg
Charger J8540 20W PD,4,"3,50",J8540,https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg
Headphone K6052 New modele,6,"2,00",K6052,https://lcd-phone.com/51961-home_default/ecouteurs-kit-main-libre-jack-d-power-k6052-blanc.jpg
Headphone K6009/C6009 IP,5,"5,50",K6009/C6009,https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg
"Headphone K6055 Type-c White For
IP15/15 Pro",5,"3,00",K6055 ,https://lcd-phone.com/61068-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6055-pour-ip-1515pro-blanc.jpg
Adaptor J8230/J8233 16A White,3,"2,00",J8230/J8233,https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg
,,,,
,,"prix total de presentoir 1 HT : 	130,3€",,
,,,,
Nom du produit,quantité  par produit ,prix vente ,Colonne 1,image produit
Cable F6000 lightning 1M White,"6,00",1,F6000,https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg
Cable F6007 White Micro 1M,"5,00","1,2",F6007,https://lcd-phone.com/59158-home_default/cable-usb-micro-d-power-f6007-1m-blanc.jpg
Cable F6002 White Type-c,"6,00",1,F6002,https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg
Cable F8000 20W PD White,"6,00","2,3",F8000,https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg
Cable F8002 USB-C To Lightning 2M,"5,00","2,7",F8002,https://lcd-phone.com/41858-home_default/cable-type-c-lightning-d-power-f8002-2m-blanc.jpg
Cable F9000 USB-C TO USB-C 1M,"6,00","1,7",F9000,https://lcd-phone.com/41861-home_default/cable-type-c-type-c-d-power-f9000-1m-blanc.jpg
Cable F9002 USB-C 2M,"5,00","2,2",F9002,https://lcd-phone.com/42020-home_default/cable-type-c-type-c-d-power-f9002-2m-blanc.jpg
Cable F8005 C to C 60W WAX White,"5,00","2,2",F8005,https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg
Cable 2M F2002 White Type-C,"4,00","1,7",F2002,https://lcd-phone.com/41871-home_default/cable-usb-type-c-d-power-f2002-2m-blanc.jpg
Cable 2M F2003 Lightning,"4,00","1,8",F2003,https://lcd-phone.com/41877-home_default/cable-usb-lightning-d-power-f2003-2m-blanc.jpg
Charger J8501 White Fast,"5,00","2,5",J8501,https://lcd-phone.com/41912-home_default/adaptateur-secteur-usb-a-recharge-rapide-d-power-j8501-blanc.jpg
Charger J8505 IP 1A White,"5,00","2,5",J8505,https://lcd-phone.com/41920-home_default/kit-chargeur-lightning-a-recharge-rapide-d-power-j80505-1a-blanc-.jpg
Charger J8516 White Type-C,4,"3,7",J8516,https://lcd-phone.com/41936-home_default/kit-chargeur-usb-usb-c-d-power-j8516-blanc.jpg
Charger J8518 White,"6,00","1,5",J8518,https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg
Charger J8540 20W PD,"4,00","3,5",J8540,https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg
Charger J8542 20W PD+Usb-c to IP,"3,00",5,J8542,https://lcd-phone.com/41955-home_default/kit-chargeur-type-c-lightning-20w-pd-d-power-j8542-blanc.jpg
Headphone K6052 New modele,"5,00",2,K6052,https://lcd-phone.com/51961-home_default/ecouteurs-kit-main-libre-jack-d-power-k6052-blanc.jpg
Headphone K6009/C6009 IP,"5,00","5,5",K6009,https://lcd-phone.com/59828-home_default/ecouteurs-kit-main-libre-lightning-d-power-k6009-blanc.jpg
Headphone K6055 Type-c White For IP15/15 Pro,"5,00",3,K6055,https://lcd-phone.com/61068-home_default/ecouteurs-kit-main-libre-type-c-d-power-k6055-pour-ip-1515pro-blanc.jpg
Headphone Wireless K61/K6201 White,"3,00",12,K6201,https://lcd-phone.com/58013-home_default/ecouteurs-bluetooth-d-power-k66-blanc-.jpg
Headphone Wireless K6202 White,"3,00",13,K6202,https://lcd-phone.com/64117-home_default/ecouteurs-bluetooth-d-power-k6202-blanc.jpg
Power bank P8589 White 10000mAh,"3,00","10,9",P8589,https://lcd-phone.com/59151-home_default/power-bank-10000mah-d-power-p8283-blanc.jpg
"Powerbank P8200 5000mAh PD 22,5W Connecteur Lightning","3,00","9,5",P8200,https://lcd-phone.com/75183-home_default/power-bank-5000mah-225w-d-power-p8200-lightning-type-c-blanc.jpg
"Charger J8266 QC3,0+PD 20W","4,00",5,J8266,https://lcd-phone.com/81723-home_default/adaptateur-secteur-20w-usb-a-usb-c-d-power-j8266.jpg
Charger J8544 25W PD White,"4,00",4,J8544,https://lcd-phone.com/41983-home_default/adaptateur-secteur-type-c-25w-pd-d-power-j8544-blanc.jpg
Charger J8548 25W PD Black + Cable C to C,"3,00",5,J8548,https://lcd-phone.com/61561-home_default/kit-chargeur-type-c-type-c-samsung-25w-d-power-j8548-noir.jpg
Adaptor J8230/J8233 16A White,"3,00",2,J8230/J8233 ,https://lcd-phone.com/58024-home_default/adaptateur-voyage-d-power-j8230-blanc.jpg
,,prix total de presentoir 2 HT : 465€,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Nom du produit,quantité  par produit ,Prix de vente ,Code Produit ,image
Cable F6000 lightning 1M White,6,1,F6000,https://lcd-phone.com/41794-home_default/cable-usb-lightning-d-power-f6000-1m-blanc.jpg
Cable F6007 White Micro 1M,6,"1,2",F6007,https://lcd-phone.com/59158-home_default/cable-usb-micro-d-power-f6007-1m-blanc.jpg
Cable F6002 White Type-c,6,1,F6002,https://lcd-phone.com/41809-home_default/cable-usb-type-c-d-power-f6002-1m-blanc.jpg
Cable F6006 White Ip 1M,5,"1,5",F6006,https://lcd-phone.com/41819-home_default/cable-usb-lightning-d-power-f6006-1m-blanc.jpg
Cable F8000 20W PD White,6,"2,3",F8000,https://lcd-phone.com/41850-home_default/cable-usb-c-lightning-d-power-f8000-1m-blanc.jpg
Cable F8002 USB-C To Lightning 2M,5,"2,7",F8002,https://lcd-phone.com/41858-home_default/cable-type-c-lightning-d-power-f8002-2m-blanc.jpg
Cable F9000 USB-C TO USB-C 1M,6,"1,7",F9000,https://lcd-phone.com/41861-home_default/cable-type-c-type-c-d-power-f9000-1m-blanc.jpg
Cable F9002 USB-C 2M,5,"2,2",F9002,https://lcd-phone.com/42020-home_default/cable-type-c-type-c-d-power-f9002-2m-blanc.jpg
Cable F8005 C to C 60W WAX White,5,"2,2",F8005,https://lcd-phone.com/64147-home_default/cable-type-c-type-c-nylon-d-power-60w-max-f8005-1m-blanc.jpg
Cable 2M F2001 White Mirco Usb,4,"1,7",F2001,https://lcd-phone.com/41867-home_default/cable-usb-micro-usb-d-power-f2001-2m-noir.jpg
Cable 2M F2002 White Type-C,4,"1,7",F2002,https://lcd-phone.com/41871-home_default/cable-usb-type-c-d-power-f2002-2m-blanc.jpg
